Series;Time;Value
Alliance  (Failed - False) ;2019-05-25T15:58:48.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:58:50.000Z;1.5715708179999999
Alliance  (Failed - False) ;2019-05-25T15:58:52.000Z;1.571570818
Alliance  (Failed - False) ;2019-05-25T15:58:54.000Z;1.4288885905000002
Alliance  (Failed - False) ;2019-05-25T15:58:56.000Z;1.371900929
Alliance  (Failed - False) ;2019-05-25T15:58:58.000Z;1.353327977
Alliance  (Failed - False) ;2019-05-25T15:59:00.000Z;1.2848547174999996
Alliance  (Failed - False) ;2019-05-25T15:59:02.000Z;1.2750662779999997
Alliance  (Failed - False) ;2019-05-25T15:59:04.000Z;1.2904182562499997
Alliance  (Failed - False) ;2019-05-25T15:59:06.000Z;1.2880213013333333
Alliance  (Failed - False) ;2019-05-25T15:59:08.000Z;1.2831930620000003
Alliance  (Failed - False) ;2019-05-25T15:59:10.000Z;1.2831930620000003
Alliance  (Failed - False) ;2019-05-25T15:59:12.000Z;1.3193335190000006
Alliance  (Failed - False) ;2019-05-25T15:59:14.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:16.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:18.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:20.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:22.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:24.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:26.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:28.000Z;1.3012749760000002
Alliance  (Failed - False) ;2019-05-25T15:59:30.000Z;1.3012749760000002
Alliance  (Failed - False) ;2019-05-25T15:59:32.000Z;1.3012749760000002
Alliance  (Failed - False) ;2019-05-25T15:59:34.000Z;1.3012749760000002
Alliance  (Failed - False) ;2019-05-25T15:59:36.000Z;1.3012749760000002
Alliance  (Failed - False) ;2019-05-25T15:59:38.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:40.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:42.000Z;1.691531393
Alliance  (Failed - False) ;2019-05-25T15:59:44.000Z;1.4694946089999996
Alliance  (Failed - False) ;2019-05-25T15:59:46.000Z;1.3906694616666664
Alliance  (Failed - False) ;2019-05-25T15:59:48.000Z;1.3906694616666664
Alliance  (Failed - False) ;2019-05-25T15:59:50.000Z;1.3906694616666664
Alliance  (Failed - False) ;2019-05-25T15:59:52.000Z;1.240238496
Alliance  (Failed - False) ;2019-05-25T15:59:54.000Z;1.2330191670000001
Alliance  (Failed - False) ;2019-05-25T15:59:56.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T15:59:58.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:00.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:02.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:04.000Z;15.380327991000001
Alliance  (Failed - False) ;2019-05-25T16:00:06.000Z;8.378142338500002
Alliance  (Failed - False) ;2019-05-25T16:00:08.000Z;4.810730495750002
Alliance  (Failed - False) ;2019-05-25T16:00:10.000Z;3.6380658081666675
Alliance  (Failed - False) ;2019-05-25T16:00:12.000Z;1.2869239458333344
Alliance  (Failed - False) ;2019-05-25T16:00:14.000Z;1.2766387075000007
Alliance  (Failed - False) ;2019-05-25T16:00:16.000Z;1.2903966019999997
Alliance  (Failed - False) ;2019-05-25T16:00:18.000Z;1.2888367146666677
Alliance  (Failed - False) ;2019-05-25T16:00:20.000Z;1.2806394535000007
Alliance  (Failed - False) ;2019-05-25T16:00:22.000Z;1.2830269990000005
Alliance  (Failed - False) ;2019-05-25T16:00:24.000Z;1.2674178705000008
Alliance  (Failed - False) ;2019-05-25T16:00:26.000Z;1.256047670000001
Alliance  (Failed - False) ;2019-05-25T16:00:28.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:30.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:32.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:34.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:36.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:38.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:40.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:42.000Z;NaN
Alliance  (Failed - False) ;2019-05-25T16:00:44.000Z;NaN
