Series;Time;Value
Alliance;2019-05-25T15:58:50.000Z;1
Alliance;2019-05-25T15:58:54.000Z;0
Alliance;2019-05-25T15:58:58.000Z;0
Alliance;2019-05-25T15:59:02.000Z;1
Alliance;2019-05-25T15:59:06.000Z;0
Alliance;2019-05-25T15:59:10.000Z;0
Alliance;2019-05-25T15:59:14.000Z;0
Alliance;2019-05-25T15:59:18.000Z;0
Alliance;2019-05-25T15:59:22.000Z;0
Alliance;2019-05-25T15:59:26.000Z;0
Alliance;2019-05-25T15:59:30.000Z;0
Alliance;2019-05-25T15:59:34.000Z;0
Alliance;2019-05-25T15:59:38.000Z;0
Alliance;2019-05-25T15:59:42.000Z;1
Alliance;2019-05-25T15:59:46.000Z;1
Alliance;2019-05-25T15:59:50.000Z;0
Alliance;2019-05-25T15:59:54.000Z;0
Alliance;2019-05-25T15:59:58.000Z;0
Alliance;2019-05-25T16:00:02.000Z;0
Alliance;2019-05-25T16:00:06.000Z;0
Alliance;2019-05-25T16:00:10.000Z;0
Alliance;2019-05-25T16:00:14.000Z;1
Alliance;2019-05-25T16:00:18.000Z;0
Alliance;2019-05-25T16:00:22.000Z;0
Alliance;2019-05-25T16:00:26.000Z;0
Alliance;2019-05-25T16:00:30.000Z;0
Alliance;2019-05-25T16:00:34.000Z;0
Alliance;2019-05-25T16:00:38.000Z;0
Alliance;2019-05-25T16:00:42.000Z;0
Alliance;2019-05-25T16:00:46.000Z;1
Alliance;2019-05-25T16:00:50.000Z;1
Alliance;2019-05-25T16:00:54.000Z;0
Alliance;2019-05-25T16:00:58.000Z;0
Alliance;2019-05-25T16:01:02.000Z;0
Alliance;2019-05-25T16:01:06.000Z;0
Alliance;2019-05-25T16:01:10.000Z;0
Alliance;2019-05-25T16:01:14.000Z;0
Alliance;2019-05-25T16:01:18.000Z;0
Alliance;2019-05-25T16:01:22.000Z;0
Alliance;2019-05-25T16:01:26.000Z;0
Alliance;2019-05-25T16:01:30.000Z;0
Alliance;2019-05-25T16:01:34.000Z;0
Alliance;2019-05-25T16:01:38.000Z;1
Alliance;2019-05-25T16:01:42.000Z;1
Alliance;2019-05-25T16:01:46.000Z;0
Alliance;2019-05-25T16:01:50.000Z;0
Alliance;2019-05-25T16:01:54.000Z;0
Alliance;2019-05-25T16:01:58.000Z;0
Alliance;2019-05-25T16:02:02.000Z;1
Alliance;2019-05-25T16:02:06.000Z;0
Alliance;2019-05-25T16:02:10.000Z;0
Alliance;2019-05-25T16:02:14.000Z;0
Alliance;2019-05-25T16:02:18.000Z;0
Alliance;2019-05-25T16:02:22.000Z;0
Alliance;2019-05-25T16:02:26.000Z;0
Alliance;2019-05-25T16:02:30.000Z;0
Alliance;2019-05-25T16:02:34.000Z;0
Alliance;2019-05-25T16:02:38.000Z;0
Alliance;2019-05-25T16:02:42.000Z;0
Alliance;2019-05-25T16:02:46.000Z;0
Alliance;2019-05-25T16:02:50.000Z;0
Alliance;2019-05-25T16:02:54.000Z;0
Alliance;2019-05-25T16:02:58.000Z;0
Alliance;2019-05-25T16:03:02.000Z;0
Alliance;2019-05-25T16:03:06.000Z;0
Alliance;2019-05-25T16:03:10.000Z;0
Alliance;2019-05-25T16:03:14.000Z;0
Alliance;2019-05-25T16:03:18.000Z;0
Alliance;2019-05-25T16:03:22.000Z;0
Alliance;2019-05-25T16:03:26.000Z;0
Alliance;2019-05-25T16:03:30.000Z;0
