Series;Time;Value
Alliance (Failed - False);2019-05-25T15:58:46.000Z;1
Alliance (Failed - False);2019-05-25T15:58:48.000Z;1
Alliance (Failed - False);2019-05-25T15:58:50.000Z;2
Alliance (Failed - False);2019-05-25T15:58:52.000Z;2
Alliance (Failed - False);2019-05-25T15:58:54.000Z;3
Alliance (Failed - False);2019-05-25T15:58:56.000Z;4
Alliance (Failed - False);2019-05-25T15:58:58.000Z;5
Alliance (Failed - False);2019-05-25T15:59:00.000Z;6
Alliance (Failed - False);2019-05-25T15:59:02.000Z;7
Alliance (Failed - False);2019-05-25T15:59:04.000Z;8
Alliance (Failed - False);2019-05-25T15:59:06.000Z;8
Alliance (Failed - False);2019-05-25T15:59:08.000Z;8
Alliance (Failed - False);2019-05-25T15:59:10.000Z;8
Alliance (Failed - False);2019-05-25T15:59:12.000Z;8
Alliance (Failed - False);2019-05-25T15:59:14.000Z;8
Alliance (Failed - False);2019-05-25T15:59:16.000Z;8
Alliance (Failed - False);2019-05-25T15:59:18.000Z;8
Alliance (Failed - False);2019-05-25T15:59:20.000Z;8
Alliance (Failed - False);2019-05-25T15:59:22.000Z;8
Alliance (Failed - False);2019-05-25T15:59:24.000Z;8
Alliance (Failed - False);2019-05-25T15:59:26.000Z;8
Alliance (Failed - False);2019-05-25T15:59:28.000Z;9
Alliance (Failed - False);2019-05-25T15:59:30.000Z;9
Alliance (Failed - False);2019-05-25T15:59:32.000Z;9
Alliance (Failed - False);2019-05-25T15:59:34.000Z;9
Alliance (Failed - False);2019-05-25T15:59:36.000Z;9
Alliance (Failed - False);2019-05-25T15:59:38.000Z;9
Alliance (Failed - False);2019-05-25T15:59:40.000Z;9
Alliance (Failed - False);2019-05-25T15:59:42.000Z;10
Alliance (Failed - False);2019-05-25T15:59:44.000Z;11
Alliance (Failed - False);2019-05-25T15:59:46.000Z;12
Alliance (Failed - False);2019-05-25T15:59:48.000Z;12
Alliance (Failed - False);2019-05-25T15:59:50.000Z;12
Alliance (Failed - False);2019-05-25T15:59:52.000Z;12
Alliance (Failed - False);2019-05-25T15:59:54.000Z;12
Alliance (Failed - False);2019-05-25T15:59:56.000Z;12
Alliance (Failed - False);2019-05-25T15:59:58.000Z;12
Alliance (Failed - False);2019-05-25T16:00:00.000Z;12
Alliance (Failed - False);2019-05-25T16:00:02.000Z;12
Alliance (Failed - False);2019-05-25T16:00:04.000Z;13
Alliance (Failed - False);2019-05-25T16:00:06.000Z;14
Alliance (Failed - False);2019-05-25T16:00:08.000Z;16
Alliance (Failed - False);2019-05-25T16:00:10.000Z;18
Alliance (Failed - False);2019-05-25T16:00:12.000Z;19
Alliance (Failed - False);2019-05-25T16:00:14.000Z;20
Alliance (Failed - False);2019-05-25T16:00:16.000Z;21
Alliance (Failed - False);2019-05-25T16:00:18.000Z;21
Alliance (Failed - False);2019-05-25T16:00:20.000Z;22
Alliance (Failed - False);2019-05-25T16:00:22.000Z;22
Alliance (Failed - False);2019-05-25T16:00:24.000Z;22
Alliance (Failed - False);2019-05-25T16:00:26.000Z;22
Alliance (Failed - False);2019-05-25T16:00:28.000Z;22
Alliance (Failed - False);2019-05-25T16:00:30.000Z;22
Alliance (Failed - False);2019-05-25T16:00:32.000Z;22
Alliance (Failed - False);2019-05-25T16:00:34.000Z;22
Alliance (Failed - False);2019-05-25T16:00:36.000Z;22
Alliance (Failed - False);2019-05-25T16:00:38.000Z;22
Alliance (Failed - False);2019-05-25T16:00:40.000Z;22
